user_id,age,gender,country,occupation,experience_years,education_level,preferred_language,preferred_learning_style,learning_goals,performance_trend,average_feedback_score
U0085,26,Female,Canada,Inside Sales Specialist,11,Master's Degree,Chinese,Interactive,Advance marketing knowledge,62->59->63,3.93
U0086,50,Female,Canada,Business Development Representative,12,Bachelor's Degree,Spanish,Video,Learn project management,85->82->82,4.96
U0087,35,Female,India,Pre-Sales Consultant,14,Master's Degree,German,Interactive,Prepare for certification,60->62->64,3.97
U0088,35,Female,United Kingdom,Sales Manager,10,Associate Degree,English,Interactive,Advance marketing knowledge,61->56->60,4.73
U0089,26,Non-binary,South Korea,Inside Sales Specialist,6,Associate Degree,Korean,Reading,Prepare for certification,58->56->55,4.18
U0090,51,Male,Japan,Account Manager,4,PhD,English,Hands-on,Master programming,70->66->66,3.75
U0091,37,Non-binary,Canada,Customer Success Manager,1,Master's Degree,Spanish,Hands-on,Explore machine learning,88->92->88,3.57
U0092,32,Female,United States,Pre-Sales Consultant,12,Bachelor's Degree,Korean,Interactive,Learn project management,61->62->67,3.41
U0093,29,Female,Brazil,Inside Sales Specialist,14,Associate Degree,Korean,Video,Understand cybersecurity,82->77->78,4.52
U0094,45,Non-binary,Brazil,Sales Representative,14,High School,Korean,Reading,Upskill in data science,65->66->61,3.77
U0095,41,Non-binary,Canada,Pre-Sales Consultant,9,Associate Degree,French,Reading,Improve leadership skills,52->57->59,4.02
U0096,39,Male,Canada,Pre-Sales Consultant,8,High School,French,Hands-on,Enhance data visualization,73->76->73,3.98
U0097,47,Prefer not to say,India,Sales Engineer,0,Master's Degree,Korean,Video,Upskill in data science,65->66->64,4.15
U0098,52,Non-binary,India,Sales Manager,8,Master's Degree,French,Video,Prepare for certification,86->88->87,4.73
U0099,40,Prefer not to say,Japan,Sales Manager,6,PhD,French,Hands-on,Explore machine learning,84->83->87,4.96
U0100,24,Non-binary,Japan,Territory Sales Manager,13,High School,German,Reading,Master programming,50->49->53,3.82
U0101,33,Female,India,Business Development Representative,13,Bachelor's Degree,Korean,Interactive,Learn project management,64->68->67,4.66
U0102,44,Male,Canada,Customer Success Manager,2,High School,Spanish,Reading,Learn Agile methodologies,71->69->68,4.53
U0103,21,Male,United States,Sales Engineer,14,Master's Degree,French,Interactive,Learn project management,62->66->69,4.15
U0104,39,Prefer not to say,Germany,Account Executive,5,Bachelor's Degree,Chinese,Hands-on,Learn Agile methodologies,81->77->80,4.91
U0105,52,Female,Canada,Sales Representative,15,High School,Spanish,Reading,Improve leadership skills,74->77->72,3.4
U0106,44,Male,United Kingdom,Pre-Sales Consultant,8,PhD,French,Reading,Understand cybersecurity,69->71->75,3.22
U0107,58,Non-binary,India,Business Development Representative,10,PhD,Chinese,Hands-on,Explore machine learning,67->71->72,4.71
U0108,32,Female,South Korea,Sales Representative,14,Associate Degree,Korean,Hands-on,Improve leadership skills,53->56->51,3.88
U0109,56,Female,India,Sales Manager,12,Associate Degree,English,Video,Understand cybersecurity,70->70->70,4.69
U0110,48,Prefer not to say,Germany,Territory Sales Manager,12,Bachelor's Degree,Spanish,Reading,Enhance data visualization,72->68->65,4.79
U0111,36,Prefer not to say,India,Territory Sales Manager,0,High School,Chinese,Hands-on,Master programming,83->84->87,3.12
U0112,28,Non-binary,South Korea,Customer Success Manager,13,Master's Degree,Spanish,Reading,Master programming,56->53->50,4.77
U0113,36,Non-binary,Germany,Account Manager,15,Bachelor's Degree,English,Interactive,Advance marketing knowledge,62->65->66,3.9
U0114,54,Prefer not to say,South Korea,Inside Sales Specialist,7,Bachelor's Degree,Chinese,Video,Improve leadership skills,78->73->71,4.02
U0115,46,Female,South Korea,Sales Engineer,9,Bachelor's Degree,Korean,Interactive,Learn Agile methodologies,76->71->68,4.25
U0116,22,Non-binary,South Korea,Pre-Sales Consultant,7,High School,German,Reading,Improve leadership skills,63->62->67,4.85
U0117,57,Male,Japan,Account Executive,2,PhD,Chinese,Hands-on,Explore machine learning,81->78->77,3.04
U0118,41,Female,France,Customer Success Manager,6,Bachelor's Degree,Chinese,Reading,Learn Agile methodologies,50->49->49,3.95
U0119,22,Prefer not to say,United Kingdom,Business Development Representative,12,Master's Degree,Spanish,Video,Explore machine learning,70->72->77,4.38
U0120,60,Female,Japan,Territory Sales Manager,0,Bachelor's Degree,German,Video,Learn project management,77->72->69,4.45
U0121,59,Non-binary,Germany,Sales Representative,1,Associate Degree,English,Reading,Learn Agile methodologies,88->85->85,4.39
U0122,53,Non-binary,Japan,Customer Success Manager,0,Master's Degree,Korean,Reading,Learn project management,52->50->46,3.27
U0123,56,Prefer not to say,Brazil,Sales Engineer,13,Master's Degree,Spanish,Reading,Improve leadership skills,69->65->68,3.6
U0124,47,Non-binary,France,Sales Manager,6,High School,German,Interactive,Explore machine learning,70->75->78,3.72
U0125,45,Non-binary,United States,Inside Sales Specialist,5,Associate Degree,French,Interactive,Learn project management,77->72->77,4.61
U0126,43,Prefer not to say,Japan,Business Development Representative,5,Master's Degree,Chinese,Hands-on,Prepare for certification,83->81->77,3.56
U0127,48,Female,South Korea,Account Manager,5,PhD,Korean,Video,Master programming,55->58->54,3.42
U0128,49,Female,Germany,Inside Sales Specialist,12,Bachelor's Degree,Spanish,Reading,Understand cybersecurity,89->92->96,4.91
U0129,21,Prefer not to say,Canada,Pre-Sales Consultant,14,Associate Degree,Korean,Hands-on,Improve leadership skills,78->82->85,3.02
U0130,57,Male,Canada,Business Development Representative,7,Master's Degree,French,Video,Upskill in data science,77->77->76,5
U0131,54,Prefer not to say,South Korea,Pre-Sales Consultant,8,Master's Degree,Chinese,Reading,Prepare for certification,54->59->61,4.35
U0132,46,Prefer not to say,Australia,Inside Sales Specialist,2,PhD,German,Video,Enhance data visualization,63->65->68,4.66
U0133,24,Non-binary,Japan,Account Executive,15,PhD,English,Reading,Master programming,82->86->91,3.59
U0134,44,Female,India,Inside Sales Specialist,6,PhD,Spanish,Hands-on,Understand cybersecurity,63->66->61,3.03
U0135,29,Male,Brazil,Sales Engineer,4,Associate Degree,German,Hands-on,Improve leadership skills,61->57->62,4.48
U0136,58,Male,Australia,Sales Engineer,3,Associate Degree,German,Hands-on,Improve leadership skills,82->79->74,4.67
U0137,51,Male,India,Account Executive,1,High School,English,Hands-on,Explore machine learning,58->56->58,4.48
U0138,29,Female,India,Pre-Sales Consultant,7,Associate Degree,Spanish,Hands-on,Prepare for certification,88->90->85,3.29
U0139,35,Non-binary,South Korea,Account Executive,10,Master's Degree,German,Hands-on,Learn Agile methodologies,64->62->62,4.51
U0140,42,Prefer not to say,South Korea,Sales Manager,14,Associate Degree,French,Video,Learn project management,63->59->59,4.54
U0141,41,Non-binary,South Korea,Business Development Representative,10,Master's Degree,French,Video,Master programming,58->63->59,4.32
U0142,53,Prefer not to say,Japan,Sales Engineer,7,PhD,Spanish,Reading,Prepare for certification,52->51->51,4.53
U0143,52,Female,United States,Inside Sales Specialist,2,Bachelor's Degree,Chinese,Video,Improve leadership skills,59->57->62,4.69
U0144,40,Male,United Kingdom,Inside Sales Specialist,14,High School,Spanish,Hands-on,Learn Agile methodologies,88->84->79,4.23
U0145,57,Prefer not to say,Brazil,Pre-Sales Consultant,1,Associate Degree,Korean,Reading,Prepare for certification,72->73->76,3.18
U0146,38,Non-binary,India,Account Executive,9,High School,Korean,Hands-on,Understand cybersecurity,69->64->60,3.98
U0147,47,Female,Canada,Inside Sales Specialist,15,Associate Degree,Chinese,Interactive,Improve leadership skills,72->76->78,3.16
U0148,43,Prefer not to say,Canada,Account Manager,4,Master's Degree,Korean,Video,Learn Agile methodologies,75->78->76,3.82
U0149,22,Female,Japan,Business Development Representative,10,PhD,Spanish,Reading,Learn project management,64->62->59,3.81
U0150,39,Male,India,Territory Sales Manager,11,High School,German,Reading,Prepare for certification,84->82->86,3.13
U0151,47,Prefer not to say,South Korea,Account Executive,9,Bachelor's Degree,Chinese,Hands-on,Prepare for certification,74->71->67,3.7
U0152,42,Non-binary,France,Customer Success Manager,2,Master's Degree,Spanish,Video,Understand cybersecurity,54->56->51,3.22
U0153,41,Male,Canada,Sales Representative,2,PhD,French,Video,Understand cybersecurity,86->89->85,4.62
U0154,38,Male,United Kingdom,Sales Representative,9,Bachelor's Degree,French,Hands-on,Understand cybersecurity,53->57->56,4.9
U0155,55,Female,Brazil,Sales Manager,9,High School,French,Interactive,Explore machine learning,58->61->62,3.14
U0156,38,Female,United Kingdom,Sales Manager,4,Master's Degree,French,Reading,Upskill in data science,86->91->95,4.91
U0157,44,Female,United States,Account Executive,13,Master's Degree,Chinese,Hands-on,Improve leadership skills,88->89->90,4.05
U0158,46,Prefer not to say,United States,Territory Sales Manager,10,Master's Degree,Korean,Reading,Learn project management,52->49->46,3.6
U0159,28,Female,Germany,Sales Manager,1,High School,Korean,Hands-on,Understand cybersecurity,85->83->84,3.15
U0160,51,Non-binary,Japan,Sales Engineer,3,Master's Degree,Chinese,Video,Master programming,59->64->63,4
U0161,37,Prefer not to say,United States,Sales Representative,0,PhD,Korean,Interactive,Advance marketing knowledge,72->68->70,4.59
U0162,39,Prefer not to say,Australia,Territory Sales Manager,4,Master's Degree,English,Video,Learn Agile methodologies,74->72->74,4.41
U0163,28,Prefer not to say,United Kingdom,Sales Engineer,11,Master's Degree,German,Reading,Master programming,87->84->89,3.1
U0164,31,Prefer not to say,Brazil,Inside Sales Specialist,8,High School,Spanish,Video,Upskill in data science,63->66->66,3.15
U0165,20,Female,Australia,Pre-Sales Consultant,6,Bachelor's Degree,Spanish,Reading,Learn Agile methodologies,75->77->74,3.81
U0166,31,Female,Japan,Business Development Representative,15,Associate Degree,Korean,Video,Prepare for certification,73->72->73,3.59
U0167,25,Non-binary,Brazil,Account Manager,6,Associate Degree,Spanish,Video,Improve leadership skills,66->70->72,3.46
U0168,53,Prefer not to say,Japan,Territory Sales Manager,6,High School,Korean,Video,Prepare for certification,50->54->54,3.56
U0169,38,Female,Brazil,Business Development Representative,13,Master's Degree,English,Interactive,Upskill in data science,83->83->86,4.61
U0170,23,Male,United States,Territory Sales Manager,15,Associate Degree,English,Reading,Advance marketing knowledge,87->83->83,4.86
U0171,25,Male,Germany,Pre-Sales Consultant,15,PhD,Chinese,Interactive,Improve leadership skills,50->52->55,3.81
U0172,24,Prefer not to say,United States,Account Manager,12,PhD,Spanish,Hands-on,Prepare for certification,58->58->60,4.81
U0173,23,Prefer not to say,France,Customer Success Manager,0,Associate Degree,Chinese,Interactive,Advance marketing knowledge,54->54->53,3.64
U0174,31,Female,South Korea,Sales Engineer,1,Associate Degree,Korean,Video,Learn project management,82->83->83,3.95
U0175,41,Male,Australia,Sales Manager,4,Associate Degree,Spanish,Video,Improve leadership skills,68->65->60,3.45
U0176,45,Prefer not to say,Brazil,Sales Engineer,10,High School,Spanish,Reading,Explore machine learning,86->83->78,4.28
U0177,26,Prefer not to say,India,Account Manager,6,PhD,Korean,Interactive,Learn project management,58->57->52,4.96
U0178,22,Non-binary,United Kingdom,Sales Engineer,4,Associate Degree,French,Interactive,Upskill in data science,73->74->71,4.21
U0179,21,Male,Japan,Pre-Sales Consultant,2,High School,Korean,Reading,Learn Agile methodologies,69->67->65,3.72
U0180,56,Male,United Kingdom,Inside Sales Specialist,5,Bachelor's Degree,Korean,Hands-on,Improve leadership skills,63->60->58,4.3
U0181,58,Non-binary,Australia,Sales Engineer,13,Bachelor's Degree,Spanish,Interactive,Advance marketing knowledge,69->66->69,3.25
U0182,45,Non-binary,Germany,Sales Representative,13,High School,Korean,Reading,Explore machine learning,82->83->84,4.78
U0183,32,Non-binary,Canada,Pre-Sales Consultant,11,Associate Degree,Chinese,Hands-on,Enhance data visualization,90->88->87,4.01
U0184,56,Non-binary,Canada,Pre-Sales Consultant,7,Bachelor's Degree,Chinese,Video,Master programming,61->62->63,3.9
U0185,43,Non-binary,Japan,Inside Sales Specialist,8,Master's Degree,Chinese,Interactive,Master programming,65->70->73,4.17
U0186,23,Prefer not to say,India,Sales Engineer,8,Master's Degree,Spanish,Interactive,Advance marketing knowledge,75->79->79,4.25
U0187,30,Non-binary,Brazil,Sales Representative,12,Master's Degree,French,Reading,Advance marketing knowledge,71->69->72,3.14
U0188,57,Prefer not to say,Canada,Sales Manager,10,Associate Degree,Korean,Reading,Advance marketing knowledge,74->76->80,4.37
U0189,29,Non-binary,United States,Pre-Sales Consultant,2,Associate Degree,French,Hands-on,Understand cybersecurity,62->67->70,3.48
U0190,34,Non-binary,Germany,Business Development Representative,9,Master's Degree,German,Reading,Learn Agile methodologies,77->75->80,4.43
U0191,56,Male,India,Territory Sales Manager,12,PhD,Korean,Reading,Explore machine learning,80->84->89,4.65
U0192,35,Male,India,Inside Sales Specialist,7,PhD,English,Video,Understand cybersecurity,82->87->85,4.61
U0193,49,Male,South Korea,Sales Representative,15,Associate Degree,Chinese,Interactive,Understand cybersecurity,53->55->52,4.11
U0194,20,Male,Germany,Business Development Representative,13,Master's Degree,German,Video,Learn Agile methodologies,58->59->58,4.04
U0195,56,Female,United States,Pre-Sales Consultant,9,Master's Degree,Korean,Reading,Enhance data visualization,75->72->72,3.29
U0196,37,Female,Japan,Territory Sales Manager,5,Master's Degree,French,Reading,Master programming,75->73->71,4.55
U0197,58,Male,Brazil,Inside Sales Specialist,9,High School,Korean,Hands-on,Explore machine learning,66->69->74,3.54
U0198,25,Male,Canada,Pre-Sales Consultant,12,Bachelor's Degree,German,Hands-on,Improve leadership skills,89->90->92,3.99
U0199,21,Prefer not to say,France,Sales Engineer,10,Associate Degree,German,Video,Upskill in data science,56->57->53,3.57
U0200,30,Non-binary,Japan,Account Manager,12,Associate Degree,German,Reading,Explore machine learning,52->48->46,3.27
U0201,34,Female,Germany,Sales Engineer,15,Master's Degree,Chinese,Interactive,Prepare for certification,84->80->79,4.26
U0202,22,Non-binary,United States,Sales Engineer,2,Master's Degree,Chinese,Interactive,Upskill in data science,54->53->56,3.11
U0203,25,Male,India,Account Manager,2,High School,English,Reading,Learn project management,52->49->52,4.5
U0204,55,Prefer not to say,India,Sales Manager,12,PhD,English,Video,Explore machine learning,88->83->81,3.64
U0205,38,Female,United States,Inside Sales Specialist,6,Bachelor's Degree,German,Reading,Prepare for certification,85->84->81,3
U0206,23,Female,Australia,Account Executive,13,High School,French,Hands-on,Explore machine learning,56->58->62,4.02
U0207,26,Female,France,Customer Success Manager,2,Bachelor's Degree,Chinese,Video,Improve leadership skills,81->77->75,3.09
U0208,28,Male,Japan,Sales Engineer,0,Associate Degree,Spanish,Hands-on,Upskill in data science,60->63->66,3.55
U0209,25,Non-binary,United States,Pre-Sales Consultant,14,Bachelor's Degree,Spanish,Interactive,Enhance data visualization,54->58->56,4.41
U0210,47,Prefer not to say,France,Territory Sales Manager,12,Bachelor's Degree,Chinese,Interactive,Explore machine learning,54->52->55,3.13
U0211,25,Male,Brazil,Customer Success Manager,3,Master's Degree,English,Reading,Learn project management,65->70->67,4.68
U0212,27,Non-binary,Germany,Account Executive,2,Associate Degree,English,Reading,Advance marketing knowledge,71->66->67,3.01
U0213,58,Prefer not to say,Canada,Sales Engineer,13,PhD,Spanish,Reading,Master programming,60->60->57,3.49
U0214,51,Non-binary,United States,Sales Representative,11,Bachelor's Degree,Chinese,Video,Enhance data visualization,87->90->94,4.48
U0215,59,Non-binary,France,Sales Representative,13,Master's Degree,German,Reading,Learn Agile methodologies,86->90->88,3.63
U0216,23,Male,Australia,Business Development Representative,10,Master's Degree,Chinese,Reading,Understand cybersecurity,63->63->63,3.2
U0217,52,Non-binary,Canada,Sales Engineer,14,High School,Chinese,Interactive,Understand cybersecurity,75->72->77,3.72
U0218,43,Prefer not to say,Australia,Sales Engineer,12,High School,Chinese,Video,Upskill in data science,55->54->59,3.54
U0219,37,Male,United Kingdom,Sales Engineer,12,PhD,French,Hands-on,Learn project management,66->61->64,4.69
U0220,48,Male,South Korea,Sales Engineer,13,Master's Degree,German,Video,Prepare for certification,56->58->55,3.63
U0221,54,Female,South Korea,Sales Manager,5,Associate Degree,German,Video,Improve leadership skills,72->77->74,4.58
U0222,28,Female,Canada,Business Development Representative,5,Associate Degree,German,Interactive,Prepare for certification,50->53->52,4.78
U0223,50,Non-binary,Canada,Inside Sales Specialist,11,PhD,German,Reading,Upskill in data science,50->49->45,3.87
U0224,22,Non-binary,Brazil,Business Development Representative,3,Associate Degree,Spanish,Video,Improve leadership skills,65->65->70,4.82
U0225,21,Non-binary,United Kingdom,Territory Sales Manager,14,Associate Degree,Korean,Interactive,Upskill in data science,77->76->72,3.75
U0226,60,Non-binary,Brazil,Sales Manager,14,PhD,Korean,Video,Learn project management,84->79->75,4.93
U0227,21,Non-binary,United States,Sales Manager,10,Associate Degree,Spanish,Video,Explore machine learning,71->68->71,3.18
U0228,26,Non-binary,Germany,Inside Sales Specialist,13,Master's Degree,Spanish,Interactive,Learn Agile methodologies,52->49->45,4.37
U0229,52,Female,South Korea,Sales Engineer,11,Master's Degree,German,Video,Advance marketing knowledge,79->82->86,3.99
U0230,27,Female,United States,Account Executive,14,Bachelor's Degree,Korean,Hands-on,Explore machine learning,86->81->81,3.78
U0231,41,Non-binary,Australia,Sales Representative,11,PhD,German,Reading,Upskill in data science,84->83->80,4.27
U0232,56,Male,India,Account Executive,1,Bachelor's Degree,Spanish,Interactive,Learn Agile methodologies,88->91->92,4.41
U0233,20,Prefer not to say,United States,Business Development Representative,12,Bachelor's Degree,Chinese,Hands-on,Advance marketing knowledge,64->66->65,3.01
U0234,43,Prefer not to say,South Korea,Sales Engineer,10,Associate Degree,Chinese,Hands-on,Improve leadership skills,64->65->70,3.33
U0235,55,Male,Germany,Customer Success Manager,1,Associate Degree,Spanish,Interactive,Upskill in data science,82->81->79,4.43
U0236,50,Prefer not to say,Japan,Territory Sales Manager,12,Bachelor's Degree,Spanish,Reading,Enhance data visualization,81->78->78,4.33
U0237,20,Non-binary,Canada,Account Manager,4,Bachelor's Degree,Korean,Interactive,Prepare for certification,82->77->72,4.93
