course_id,course_title,difficulty,video_length_minutes,language,keywords,learning_objectives,topic,prerequisites,estimated_effort_hours_per_week,instructor_name,rating,release_date,number_of_modules,certification_available,format,interactivity_level,target_audience,accessibility_features
C0001,Introduction to Marketing,Advanced,100,Korean,sales strategy; pipeline; closing,Master lead generation techniques and pipeline management.,Customer Success,Familiarity with CRM tools,8,Instructor B,3.75,2019-05-03,5,TRUE,Blended,High,5-10 years,Transcripts
C0014,Introduction to Artificial Intelligence,Beginner,179,Chinese,lead generation; CRM; prospecting,Learn to build and manage customer relationships to drive retention.,Customer Success,Familiarity with CRM tools,3,Instructor T,3.4,2019-10-06,10,FALSE,Blended,Low,3-5 years,Subtitles
C0015,Introduction to Software Testing,Intermediate,179,German,lead generation; CRM; prospecting,Understand sales analytics to make data-driven decisions.,Customer Relationship Management,Basic understanding of sales principles,6,Instructor M,4.18,2020-06-20,12,FALSE,Self-paced,Low,5-10 years,Subtitles
C0016,Essentials of Project Management,Beginner,159,Spanish,sales analytics; forecasting; KPIs,Enhance presentation skills for persuasive product demonstrations.,Customer Success,Familiarity with CRM tools,4,Instructor O,4.22,2022-05-24,19,TRUE,Blended,Medium,10+ years,Transcripts
C0017,Introduction to Data Visualization,Beginner,171,Korean,sales; negotiation; customer engagement,Enhance presentation skills for persuasive product demonstrations.,Negotiation,None,6,Instructor Q,3.13,2024-06-24,11,TRUE,Blended,Medium,10+ years,Subtitles
C0018,Fundamentals of Python,Beginner,97,Korean,customer retention; relationship management; loyalty,Develop effective negotiation tactics and customer engagement strategies.,Customer Relationship Management,None,3,Instructor W,4.93,2020-09-02,20,TRUE,Blended,High,3-5 years,None
C0019,Introduction to Leadership,Intermediate,123,English,sales analytics; forecasting; KPIs,Learn to build and manage customer relationships to drive retention.,Customer Success,Familiarity with CRM tools,8,Instructor T,3.61,2020-09-25,10,TRUE,Instructor-led,Low,3-5 years,Audio Descriptions
C0020,Advanced Financial Analysis,Intermediate,70,French,lead generation; CRM; prospecting,Learn to build and manage customer relationships to drive retention.,Customer Success,Familiarity with CRM tools,9,Instructor L,4.37,2022-06-04,10,TRUE,Blended,Low,1-3 years,Audio Descriptions
C0021,Introduction to Data Visualization,Intermediate,119,French,sales; negotiation; customer engagement,Learn to build and manage customer relationships to drive retention.,Customer Success,None,4,Instructor S,3.24,2021-12-23,4,TRUE,Instructor-led,Medium,1-3 years,None
C0022,Essentials of Software Testing,Beginner,128,German,lead generation; CRM; prospecting,Learn to build and manage customer relationships to drive retention.,Sales Techniques,Basic understanding of sales principles,10,Instructor V,3.07,2021-03-18,14,FALSE,Blended,Medium,1-3 years,Audio Descriptions
C0023,Fundamentals of Marketing,Advanced,109,French,sales; negotiation; customer engagement,Understand sales analytics to make data-driven decisions.,Negotiation,None,8,Instructor V,3.52,2023-04-02,8,FALSE,Blended,Low,1-3 years,Audio Descriptions
C0024,Mastering UX Design,Advanced,112,Chinese,lead generation; CRM; prospecting,Improve sales closing skills and objection handling.,Sales Analytics,Experience in customer-facing roles,4,Instructor V,3.62,2019-12-14,12,FALSE,Self-paced,High,0-1 years,Transcripts
C0025,Advanced UX Design,Beginner,41,Korean,sales analytics; forecasting; KPIs,Improve sales closing skills and objection handling.,Lead Generation,Familiarity with CRM tools,8,Instructor P,4.09,2023-06-25,10,TRUE,Blended,Low,10+ years,None
C0026,Advanced Cybersecurity,Advanced,162,Chinese,sales; negotiation; customer engagement,Improve sales closing skills and objection handling.,Sales Strategy,Basic understanding of sales principles,10,Instructor R,4.94,2022-07-23,17,FALSE,Instructor-led,Low,1-3 years,None
C0027,Advanced Data Visualization,Advanced,100,German,sales analytics; forecasting; KPIs,Learn to build and manage customer relationships to drive retention.,Customer Success,Experience in customer-facing roles,6,Instructor H,4.88,2022-01-17,13,FALSE,Self-paced,Low,10+ years,Transcripts
C0028,Advanced DevOps,Advanced,84,English,customer retention; relationship management; loyalty,Master lead generation techniques and pipeline management.,Sales Strategy,Basic understanding of sales principles,2,Instructor G,4.2,2023-09-17,15,TRUE,Instructor-led,Medium,0-1 years,Audio Descriptions
C0029,Mastering Agile Development,Intermediate,167,French,customer retention; relationship management; loyalty,Master lead generation techniques and pipeline management.,B2B Sales,Experience in customer-facing roles,9,Instructor A,3.18,2023-05-12,13,FALSE,Self-paced,Medium,10+ years,Subtitles
C0030,Essentials of DevOps,Advanced,36,English,customer retention; relationship management; loyalty,Understand sales analytics to make data-driven decisions.,Customer Success,Basic understanding of sales principles,6,Instructor M,3.09,2022-09-02,9,FALSE,Instructor-led,Medium,1-3 years,None
C0031,Introduction to Data Visualization,Intermediate,34,French,sales strategy; pipeline; closing,Understand sales analytics to make data-driven decisions.,Sales Strategy,Familiarity with CRM tools,2,Instructor Y,3.78,2019-05-08,10,TRUE,Blended,Low,5-10 years,Transcripts
C0032,Introduction to Customer Service,Advanced,85,Chinese,B2B sales; account management; consultative selling,Develop effective negotiation tactics and customer engagement strategies.,Lead Generation,Familiarity with CRM tools,6,Instructor D,4.66,2019-04-16,12,FALSE,Blended,Low,0-1 years,Transcripts
C0033,Fundamentals of Marketing,Advanced,60,German,lead generation; CRM; prospecting,Master lead generation techniques and pipeline management.,Sales Strategy,None,7,Instructor A,3.56,2023-09-17,18,TRUE,Instructor-led,High,5-10 years,Transcripts
C0034,Advanced Financial Analysis,Advanced,163,French,sales; negotiation; customer engagement,Understand sales analytics to make data-driven decisions.,Sales Strategy,Basic understanding of sales principles,5,Instructor C,3.28,2022-02-16,17,TRUE,Blended,High,10+ years,Audio Descriptions
C0035,Mastering Python,Intermediate,76,Chinese,sales; negotiation; customer engagement,Develop effective negotiation tactics and customer engagement strategies.,Sales Strategy,Familiarity with CRM tools,6,Instructor R,3.15,2019-02-11,19,TRUE,Self-paced,High,5-10 years,None
C0036,Advanced Machine Learning,Advanced,151,French,customer retention; relationship management; loyalty,Understand sales analytics to make data-driven decisions.,Sales Analytics,Familiarity with CRM tools,5,Instructor M,4.54,2021-09-23,12,FALSE,Blended,High,0-1 years,None
C0037,Fundamentals of Machine Learning,Intermediate,146,Spanish,customer retention; relationship management; loyalty,Enhance presentation skills for persuasive product demonstrations.,B2B Sales,Basic understanding of sales principles,3,Instructor X,3.01,2021-01-28,9,TRUE,Instructor-led,Medium,0-1 years,Audio Descriptions
C0038,Advanced Marketing,Intermediate,88,Spanish,sales; negotiation; customer engagement,Understand sales analytics to make data-driven decisions.,Sales Analytics,Basic understanding of sales principles,2,Instructor B,4.41,2022-04-11,7,FALSE,Self-paced,High,3-5 years,None
C0039,Mastering Customer Service,Intermediate,77,English,customer retention; relationship management; loyalty,Learn to build and manage customer relationships to drive retention.,Negotiation,Familiarity with CRM tools,3,Instructor S,4.54,2019-08-08,7,TRUE,Instructor-led,Low,5-10 years,Subtitles
C0040,Mastering Machine Learning,Advanced,87,German,sales; negotiation; customer engagement,Improve sales closing skills and objection handling.,B2B Sales,Basic understanding of sales principles,2,Instructor T,3.72,2020-02-11,9,TRUE,Blended,Low,5-10 years,Transcripts
C0041,Essentials of SQL,Beginner,70,English,sales strategy; pipeline; closing,Develop effective negotiation tactics and customer engagement strategies.,Sales Techniques,Basic understanding of sales principles,6,Instructor W,4.73,2022-03-04,17,TRUE,Self-paced,Medium,0-1 years,Transcripts
C0042,Introduction to Financial Analysis,Advanced,87,French,sales strategy; pipeline; closing,Improve sales closing skills and objection handling.,Presentation Skills,Familiarity with CRM tools,6,Instructor T,3.66,2022-03-28,17,TRUE,Blended,Medium,3-5 years,Audio Descriptions
C0043,Essentials of Blockchain,Intermediate,142,English,sales analytics; forecasting; KPIs,Master lead generation techniques and pipeline management.,Retail Sales,Familiarity with CRM tools,3,Instructor H,3.62,2019-03-26,11,TRUE,Instructor-led,High,10+ years,Audio Descriptions
C0044,Essentials of SQL,Intermediate,155,English,customer retention; relationship management; loyalty,Learn to build and manage customer relationships to drive retention.,Sales Techniques,None,3,Instructor F,4.46,2022-09-12,16,FALSE,Blended,Medium,0-1 years,Subtitles
C0045,Introduction to Digital Marketing,Intermediate,94,Spanish,sales strategy; pipeline; closing,Master lead generation techniques and pipeline management.,Customer Relationship Management,None,2,Instructor G,4.77,2024-10-24,14,FALSE,Instructor-led,Low,0-1 years,Audio Descriptions
C0046,Advanced Machine Learning,Intermediate,142,French,customer retention; relationship management; loyalty,Improve sales closing skills and objection handling.,Negotiation,None,10,Instructor A,3.24,2023-07-30,5,TRUE,Instructor-led,Low,3-5 years,None
C0047,Essentials of Agile Development,Advanced,99,Chinese,lead generation; CRM; prospecting,Learn to build and manage customer relationships to drive retention.,Presentation Skills,None,5,Instructor T,4.52,2024-09-12,7,TRUE,Instructor-led,Medium,10+ years,Audio Descriptions
C0048,Fundamentals of Python,Advanced,106,German,lead generation; CRM; prospecting,Enhance presentation skills for persuasive product demonstrations.,B2B Sales,Experience in customer-facing roles,7,Instructor R,4.54,2023-03-26,17,FALSE,Blended,Low,5-10 years,None
C0049,Mastering Cybersecurity,Beginner,111,French,lead generation; CRM; prospecting,Improve sales closing skills and objection handling.,Sales Strategy,None,4,Instructor Q,4.05,2022-09-21,6,FALSE,Blended,Medium,0-1 years,Transcripts
C0050,Advanced Financial Analysis,Beginner,150,Spanish,sales; negotiation; customer engagement,Understand sales analytics to make data-driven decisions.,Retail Sales,Familiarity with CRM tools,9,Instructor R,3.05,2019-05-28,5,TRUE,Blended,Medium,3-5 years,Subtitles
C0051,Introduction to Financial Analysis,Advanced,55,Chinese,sales; negotiation; customer engagement,Learn to build and manage customer relationships to drive retention.,Retail Sales,None,6,Instructor L,3.06,2023-03-16,16,TRUE,Blended,Medium,10+ years,Transcripts
C0052,Advanced SQL,Beginner,127,German,lead generation; CRM; prospecting,Learn to build and manage customer relationships to drive retention.,Retail Sales,Familiarity with CRM tools,9,Instructor U,3.63,2021-11-06,17,FALSE,Self-paced,Medium,5-10 years,Transcripts
C0053,Mastering Project Management,Intermediate,180,Spanish,sales strategy; pipeline; closing,Develop effective negotiation tactics and customer engagement strategies.,Lead Generation,Experience in customer-facing roles,8,Instructor P,4.82,2020-03-12,10,FALSE,Instructor-led,High,1-3 years,Audio Descriptions
C0054,Mastering Python,Intermediate,32,German,B2B sales; account management; consultative selling,Improve sales closing skills and objection handling.,Lead Generation,Basic understanding of sales principles,7,Instructor H,3.82,2021-02-17,11,TRUE,Self-paced,High,3-5 years,Audio Descriptions
C0055,Introduction to Digital Marketing,Advanced,123,French,sales; negotiation; customer engagement,Develop effective negotiation tactics and customer engagement strategies.,Sales Analytics,None,5,Instructor E,3.46,2023-02-07,19,FALSE,Instructor-led,Medium,1-3 years,Audio Descriptions
C0056,Mastering Marketing,Beginner,66,Korean,lead generation; CRM; prospecting,Learn to build and manage customer relationships to drive retention.,Negotiation,Basic understanding of sales principles,6,Instructor R,3.58,2020-05-21,17,FALSE,Blended,High,10+ years,None
C0057,Introduction to Cloud Computing,Advanced,89,Chinese,customer retention; relationship management; loyalty,Learn to build and manage customer relationships to drive retention.,Customer Relationship Management,Experience in customer-facing roles,6,Instructor U,4.86,2023-07-31,6,TRUE,Self-paced,Medium,3-5 years,Subtitles
C0058,Advanced Marketing,Advanced,64,Chinese,B2B sales; account management; consultative selling,Understand sales analytics to make data-driven decisions.,Negotiation,Familiarity with CRM tools,3,Instructor P,4.27,2023-07-30,11,TRUE,Instructor-led,Low,10+ years,None
C0059,Fundamentals of Cybersecurity,Beginner,124,German,sales; negotiation; customer engagement,Improve sales closing skills and objection handling.,Presentation Skills,None,3,Instructor O,4.61,2020-01-11,9,TRUE,Instructor-led,Low,5-10 years,Transcripts
C0060,Essentials of Project Management,Beginner,180,Korean,sales strategy; pipeline; closing,Enhance presentation skills for persuasive product demonstrations.,Customer Relationship Management,Familiarity with CRM tools,4,Instructor R,4.79,2021-10-23,8,TRUE,Self-paced,Low,3-5 years,Audio Descriptions
C0061,Essentials of Cybersecurity,Intermediate,34,Korean,lead generation; CRM; prospecting,Understand sales analytics to make data-driven decisions.,Sales Techniques,Familiarity with CRM tools,3,Instructor P,4.61,2024-01-11,14,TRUE,Blended,Low,10+ years,Subtitles
C0062,Fundamentals of Blockchain,Intermediate,37,English,lead generation; CRM; prospecting,Understand sales analytics to make data-driven decisions.,Customer Success,None,9,Instructor C,3.64,2019-11-27,13,TRUE,Self-paced,Medium,1-3 years,Audio Descriptions
C0063,Essentials of DevOps,Advanced,105,Chinese,lead generation; CRM; prospecting,Enhance presentation skills for persuasive product demonstrations.,Sales Techniques,Basic understanding of sales principles,9,Instructor H,3.46,2023-08-22,13,FALSE,Instructor-led,High,5-10 years,Audio Descriptions
C0064,Fundamentals of Financial Analysis,Advanced,95,Spanish,sales; negotiation; customer engagement,Learn to build and manage customer relationships to drive retention.,Negotiation,Familiarity with CRM tools,8,Instructor D,4.64,2023-03-07,7,TRUE,Blended,High,1-3 years,Subtitles
C0065,Fundamentals of Financial Analysis,Advanced,138,French,sales strategy; pipeline; closing,Improve sales closing skills and objection handling.,Retail Sales,Basic understanding of sales principles,10,Instructor G,3.01,2020-09-25,18,TRUE,Instructor-led,High,0-1 years,Subtitles
C0066,Essentials of Data Visualization,Beginner,139,German,lead generation; CRM; prospecting,Understand sales analytics to make data-driven decisions.,Sales Strategy,Basic understanding of sales principles,6,Instructor K,3.83,2022-12-08,3,TRUE,Blended,High,3-5 years,Subtitles
C0067,Introduction to Leadership,Beginner,165,Korean,sales analytics; forecasting; KPIs,Learn to build and manage customer relationships to drive retention.,Sales Strategy,Familiarity with CRM tools,6,Instructor X,3.24,2022-08-21,5,TRUE,Self-paced,High,3-5 years,Subtitles
C0068,Mastering Data Visualization,Advanced,138,Chinese,lead generation; CRM; prospecting,Learn to build and manage customer relationships to drive retention.,Sales Analytics,None,3,Instructor L,4.89,2023-10-27,6,FALSE,Blended,High,0-1 years,Audio Descriptions
C0069,Advanced Data Science,Intermediate,44,English,sales analytics; forecasting; KPIs,Develop effective negotiation tactics and customer engagement strategies.,Customer Success,Familiarity with CRM tools,7,Instructor D,4.04,2019-02-01,18,FALSE,Self-paced,Medium,3-5 years,Transcripts
C0070,Essentials of Blockchain,Advanced,120,English,B2B sales; account management; consultative selling,Improve sales closing skills and objection handling.,Sales Techniques,Experience in customer-facing roles,7,Instructor S,3.73,2023-10-25,15,FALSE,Self-paced,Medium,0-1 years,Audio Descriptions
C0071,Essentials of SQL,Intermediate,122,English,B2B sales; account management; consultative selling,Develop effective negotiation tactics and customer engagement strategies.,Sales Strategy,Experience in customer-facing roles,3,Instructor M,4.92,2022-06-24,13,TRUE,Self-paced,Low,1-3 years,Subtitles
C0072,Essentials of Blockchain,Beginner,119,Spanish,sales; negotiation; customer engagement,Enhance presentation skills for persuasive product demonstrations.,B2B Sales,None,5,Instructor F,3.99,2020-09-18,5,TRUE,Instructor-led,Medium,1-3 years,None
C0073,Essentials of Statistics,Intermediate,110,Korean,sales; negotiation; customer engagement,Understand sales analytics to make data-driven decisions.,Retail Sales,Experience in customer-facing roles,2,Instructor L,3.57,2024-09-09,5,FALSE,Instructor-led,Low,3-5 years,Audio Descriptions
C0074,Introduction to Agile Development,Advanced,53,German,sales analytics; forecasting; KPIs,Improve sales closing skills and objection handling.,Sales Analytics,Familiarity with CRM tools,5,Instructor K,4.22,2024-05-02,19,TRUE,Instructor-led,Low,1-3 years,Subtitles
C0075,Advanced Blockchain,Beginner,93,French,lead generation; CRM; prospecting,Master lead generation techniques and pipeline management.,Lead Generation,Experience in customer-facing roles,8,Instructor N,3.1,2022-10-17,4,FALSE,Instructor-led,Low,10+ years,None
C0076,Fundamentals of Agile Development,Advanced,68,Spanish,sales strategy; pipeline; closing,Master lead generation techniques and pipeline management.,Sales Techniques,Experience in customer-facing roles,3,Instructor J,4.82,2023-03-23,13,TRUE,Blended,High,1-3 years,Subtitles
C0077,Essentials of Financial Analysis,Intermediate,34,Spanish,B2B sales; account management; consultative selling,Improve sales closing skills and objection handling.,Customer Relationship Management,Experience in customer-facing roles,5,Instructor E,3.29,2020-09-26,5,FALSE,Blended,High,10+ years,Subtitles
C0078,Essentials of Artificial Intelligence,Beginner,126,Korean,sales strategy; pipeline; closing,Learn to build and manage customer relationships to drive retention.,Sales Techniques,Familiarity with CRM tools,7,Instructor V,4.97,2021-08-30,17,FALSE,Instructor-led,Low,5-10 years,Transcripts
C0079,Mastering Agile Development,Beginner,124,French,lead generation; CRM; prospecting,Understand sales analytics to make data-driven decisions.,Sales Techniques,Familiarity with CRM tools,10,Instructor N,4.34,2020-10-25,9,TRUE,Self-paced,High,1-3 years,Audio Descriptions
C0080,Introduction to Machine Learning,Advanced,162,English,customer retention; relationship management; loyalty,Enhance presentation skills for persuasive product demonstrations.,Sales Techniques,Basic understanding of sales principles,4,Instructor N,3.48,2020-01-11,10,FALSE,Self-paced,Medium,0-1 years,None
C0081,Fundamentals of Blockchain,Beginner,128,English,sales analytics; forecasting; KPIs,Master lead generation techniques and pipeline management.,Sales Strategy,None,7,Instructor Z,3.74,2020-08-21,7,TRUE,Instructor-led,High,10+ years,None
C0082,Essentials of Digital Marketing,Beginner,50,English,sales; negotiation; customer engagement,Master lead generation techniques and pipeline management.,Negotiation,Basic understanding of sales principles,6,Instructor H,4.27,2022-05-18,6,TRUE,Instructor-led,High,0-1 years,None
C0083,Introduction to Project Management,Intermediate,167,English,sales analytics; forecasting; KPIs,Improve sales closing skills and objection handling.,B2B Sales,Familiarity with CRM tools,7,Instructor H,3.18,2023-09-03,8,TRUE,Instructor-led,Low,10+ years,Subtitles
C0084,Mastering DevOps,Beginner,129,Spanish,sales; negotiation; customer engagement,Enhance presentation skills for persuasive product demonstrations.,Sales Techniques,Familiarity with CRM tools,3,Instructor Y,3.64,2022-09-23,7,TRUE,Blended,Medium,1-3 years,None
C0085,Advanced Customer Service,Beginner,46,French,B2B sales; account management; consultative selling,Improve sales closing skills and objection handling.,Retail Sales,Experience in customer-facing roles,2,Instructor K,3.08,2022-06-24,19,FALSE,Instructor-led,Medium,3-5 years,Transcripts
C0086,Fundamentals of Agile Development,Beginner,114,Spanish,sales; negotiation; customer engagement,Learn to build and manage customer relationships to drive retention.,Sales Strategy,Experience in customer-facing roles,7,Instructor F,4.36,2024-07-25,18,FALSE,Instructor-led,Low,0-1 years,Subtitles
C0087,Essentials of Financial Analysis,Beginner,169,Spanish,sales analytics; forecasting; KPIs,Develop effective negotiation tactics and customer engagement strategies.,Negotiation,Experience in customer-facing roles,9,Instructor T,4.02,2023-10-12,8,FALSE,Instructor-led,Low,3-5 years,None
C0088,Introduction to Data Visualization,Beginner,133,Spanish,lead generation; CRM; prospecting,Develop effective negotiation tactics and customer engagement strategies.,Negotiation,Familiarity with CRM tools,4,Instructor C,4.29,2021-08-24,14,FALSE,Blended,Low,0-1 years,Transcripts
C0089,Fundamentals of Digital Marketing,Intermediate,143,English,sales; negotiation; customer engagement,Enhance presentation skills for persuasive product demonstrations.,Sales Analytics,None,6,Instructor H,4.38,2020-04-09,3,TRUE,Blended,Medium,1-3 years,Subtitles
C0090,Fundamentals of Data Visualization,Advanced,144,Korean,sales; negotiation; customer engagement,Improve sales closing skills and objection handling.,Sales Strategy,Familiarity with CRM tools,3,Instructor O,4.87,2020-12-08,17,TRUE,Instructor-led,High,10+ years,Subtitles
C0091,Essentials of Machine Learning,Intermediate,106,Korean,lead generation; CRM; prospecting,Understand sales analytics to make data-driven decisions.,Sales Strategy,Experience in customer-facing roles,5,Instructor Z,3.68,2020-07-22,10,FALSE,Instructor-led,High,3-5 years,Audio Descriptions
C0092,Essentials of Digital Marketing,Beginner,52,English,lead generation; CRM; prospecting,Learn to build and manage customer relationships to drive retention.,Sales Analytics,Familiarity with CRM tools,3,Instructor E,4.85,2022-07-22,5,FALSE,Blended,High,0-1 years,Transcripts
C0093,Essentials of Machine Learning,Beginner,63,Chinese,B2B sales; account management; consultative selling,Learn to build and manage customer relationships to drive retention.,Customer Relationship Management,None,4,Instructor F,3.52,2022-08-14,10,FALSE,Instructor-led,Low,1-3 years,Transcripts
C0094,Fundamentals of Machine Learning,Beginner,107,German,lead generation; CRM; prospecting,Improve sales closing skills and objection handling.,Sales Analytics,None,7,Instructor S,4.63,2019-06-18,3,TRUE,Blended,High,3-5 years,Transcripts
C0095,Mastering Statistics,Advanced,37,Chinese,sales; negotiation; customer engagement,Master lead generation techniques and pipeline management.,Sales Analytics,Experience in customer-facing roles,8,Instructor J,4.06,2024-02-01,5,TRUE,Instructor-led,Medium,3-5 years,None
C0096,Fundamentals of UX Design,Advanced,66,Spanish,customer retention; relationship management; loyalty,Learn to build and manage customer relationships to drive retention.,Negotiation,Familiarity with CRM tools,10,Instructor R,3.19,2020-03-10,13,TRUE,Self-paced,Medium,10+ years,Transcripts
C0097,Introduction to Leadership,Beginner,104,Chinese,sales; negotiation; customer engagement,Learn to build and manage customer relationships to drive retention.,Sales Techniques,Experience in customer-facing roles,7,Instructor G,4.8,2020-10-14,18,FALSE,Instructor-led,Medium,1-3 years,Subtitles
C0098,Essentials of DevOps,Intermediate,91,Korean,sales analytics; forecasting; KPIs,Learn to build and manage customer relationships to drive retention.,Lead Generation,Basic understanding of sales principles,9,Instructor J,3.68,2019-02-03,6,FALSE,Instructor-led,High,1-3 years,None
C0099,Introduction to Cloud Computing,Intermediate,43,German,B2B sales; account management; consultative selling,Master lead generation techniques and pipeline management.,Sales Strategy,None,8,Instructor Q,4.45,2024-01-19,20,FALSE,Blended,High,1-3 years,Transcripts
C0100,Mastering Marketing,Intermediate,116,German,B2B sales; account management; consultative selling,Develop effective negotiation tactics and customer engagement strategies.,Sales Strategy,Familiarity with CRM tools,2,Instructor B,4.77,2019-06-09,7,FALSE,Blended,Medium,3-5 years,Transcripts
C0101,Essentials of Artificial Intelligence,Intermediate,71,Chinese,B2B sales; account management; consultative selling,Learn to build and manage customer relationships to drive retention.,Negotiation,Experience in customer-facing roles,6,Instructor P,4.28,2019-03-10,14,FALSE,Self-paced,Medium,3-5 years,Audio Descriptions
C0102,Essentials of Python,Intermediate,97,French,sales; negotiation; customer engagement,Learn to build and manage customer relationships to drive retention.,Presentation Skills,Familiarity with CRM tools,10,Instructor U,3.32,2023-04-07,7,TRUE,Blended,High,5-10 years,Transcripts
C0103,Mastering Python,Intermediate,137,Korean,customer retention; relationship management; loyalty,Improve sales closing skills and objection handling.,Customer Success,Familiarity with CRM tools,2,Instructor W,4.21,2020-07-19,19,TRUE,Instructor-led,High,10+ years,None
C0104,Advanced Artificial Intelligence,Intermediate,166,Spanish,sales analytics; forecasting; KPIs,Enhance presentation skills for persuasive product demonstrations.,Customer Success,Familiarity with CRM tools,6,Instructor R,3.2,2022-05-07,10,FALSE,Blended,Low,10+ years,Audio Descriptions
C0105,Fundamentals of Customer Service,Advanced,100,Spanish,lead generation; CRM; prospecting,Improve sales closing skills and objection handling.,Sales Techniques,Familiarity with CRM tools,2,Instructor J,3.01,2019-11-20,14,FALSE,Instructor-led,High,1-3 years,Transcripts
C0106,Essentials of UX Design,Intermediate,173,French,B2B sales; account management; consultative selling,Understand sales analytics to make data-driven decisions.,Sales Strategy,Experience in customer-facing roles,2,Instructor V,4.1,2024-12-15,10,TRUE,Self-paced,Medium,1-3 years,None
C0107,Advanced Marketing,Beginner,170,Korean,B2B sales; account management; consultative selling,Master lead generation techniques and pipeline management.,Presentation Skills,Basic understanding of sales principles,6,Instructor U,4.3,2019-08-31,5,TRUE,Blended,High,5-10 years,Transcripts
C0108,Advanced Financial Analysis,Beginner,131,Chinese,sales analytics; forecasting; KPIs,Improve sales closing skills and objection handling.,Negotiation,None,3,Instructor K,4.42,2022-03-11,17,FALSE,Blended,Medium,1-3 years,Transcripts
C0109,Fundamentals of Marketing,Beginner,147,French,B2B sales; account management; consultative selling,Develop effective negotiation tactics and customer engagement strategies.,B2B Sales,None,5,Instructor F,3.65,2023-07-19,16,FALSE,Instructor-led,High,10+ years,Transcripts
C0110,Mastering Leadership,Intermediate,93,English,sales; negotiation; customer engagement,Learn to build and manage customer relationships to drive retention.,Negotiation,Familiarity with CRM tools,6,Instructor S,4.3,2019-02-16,11,FALSE,Self-paced,Low,0-1 years,None
